Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,329150.000000,334070.000000,329150.000000,333337.000000,333337.000000,200
2018-10-09,332700.000000,335900.000000,331800.000000,335630.000000,335630.000000,500
2018-10-10,334830.000000,335441.000000,319100.000000,319100.000000,319100.000000,500
2018-10-11,316110.000000,317990.000000,305000.000000,308000.000000,308000.000000,800
2018-10-12,314200.000000,314590.000000,306375.000000,310000.000000,310000.000000,400
2018-10-15,310000.000000,310000.000000,307205.000000,308000.000000,308000.000000,300
2018-10-16,310750.000000,316000.000000,309750.000000,314750.000000,314750.000000,300
2018-10-17,314500.000000,317500.000000,311296.000000,315200.000000,315200.000000,400
2018-10-18,316100.000000,316889.000000,311000.000000,313200.000000,313200.000000,200
2018-10-19,313200.000000,316180.000000,312264.000000,314477.000000,314477.000000,400
2018-10-22,315150.000000,315150.000000,309080.000000,309080.000000,309080.000000,300
2018-10-23,304899.000000,307915.000000,302861.000000,305100.000000,305100.000000,400
2018-10-24,305003.000000,306000.000000,299381.000000,299995.000000,299995.000000,400
2018-10-25,302000.000000,305050.000000,300430.000000,302231.000000,302231.000000,400
2018-10-26,299995.000000,300605.000000,296003.000000,296805.000000,296805.000000,600
2018-10-29,302500.000000,306864.000000,297000.000000,300000.000000,300000.000000,400
2018-10-30,300300.000000,305579.000000,298480.000000,305579.000000,305579.000000,400
2018-10-31,309180.000000,312010.000000,307090.000000,307705.000000,307705.000000,300
2018-11-01,308007.000000,309199.000000,306001.000000,308366.000000,308366.000000,200
2018-11-02,312150.000000,313015.000000,305250.000000,308411.000000,308411.000000,200
2018-11-05,318880.000000,326047.000000,318880.000000,323935.000000,323935.000000,600
2018-11-06,325945.000000,327600.000000,324885.000000,327050.000000,327050.000000,300
2018-11-07,330000.000000,332222.000000,326600.000000,331391.000000,331391.000000,300
2018-11-08,331400.000000,335109.000000,330980.000000,333200.000000,333200.000000,400
2018-11-09,331840.000000,331940.000000,327510.000000,329665.000000,329665.000000,100
2018-11-12,328930.000000,329065.000000,322980.000000,323040.000000,323040.000000,200
2018-11-13,323105.000000,328408.000000,323105.000000,326700.000000,326700.000000,300
2018-11-14,329080.000000,330450.000000,321000.000000,323700.000000,323700.000000,300
2018-11-15,322770.000000,326300.000000,318120.000000,326300.000000,326300.000000,200
2018-11-16,326000.000000,330526.000000,323800.000000,328350.000000,328350.000000,200
2018-11-19,327000.000000,327025.000000,322960.000000,326706.000000,326706.000000,200
2018-11-20,322710.000000,323010.000000,315623.000000,315970.000000,315970.000000,400
2018-11-21,316300.000000,320396.000000,316000.000000,316301.000000,316301.000000,100
2018-11-23,315000.000000,315000.000000,310340.000000,310340.000000,310340.000000,100
2018-11-26,313700.000000,316430.000000,313135.000000,316040.000000,316040.000000,200
2018-11-27,315420.000000,319100.000000,315420.000000,318696.000000,318696.000000,200
2018-11-28,319150.000000,326450.000000,318745.000000,325000.000000,325000.000000,500
2018-11-29,324750.000000,328900.000000,324200.000000,326481.000000,326481.000000,400
2018-11-30,325125.000000,328550.000000,325125.000000,326000.000000,326000.000000,200
2018-12-03,331500.000000,335041.000000,328580.000000,330921.000000,330921.000000,400
2018-12-04,330200.000000,330200.000000,314929.000000,315000.000000,315000.000000,600
2018-12-06,310550.000000,312150.000000,304500.000000,312000.000000,312000.000000,600
2018-12-07,313250.000000,316280.000000,305850.000000,307674.000000,307674.000000,200
2018-12-10,306200.000000,306990.000000,298101.000000,304600.000000,304600.000000,500
2018-12-11,309499.000000,310697.000000,301234.000000,303226.000000,303226.000000,300
2018-12-12,308000.000000,308272.000000,303400.000000,303600.000000,303600.000000,300
